algorithm,acad_s1,acad_s2,acad_s3,acad_s4,acad_s5,acad_s6,lib_s1,lib_s2,lib_s3,lib_s4,lib_s5,lib_s6
CBLOF,0.835,1.0,0.513,0.682,0.939,1.0,0.817,0.788,0.748,0.485,0.903,0.326
COPOD,0.838,1.0,0.52,0.667,0.977,1.0,0.822,0.942,0.822,0.581,0.977,0.453
ECOD,0.769,0.999,0.519,0.654,0.999,0.998,0.786,0.892,0.735,0.431,0.999,0.637
HBOS,0.863,0.997,0.524,0.65,0.742,0.997,0.839,0.943,0.853,0.695,0.142,0.184
IForest,0.849,1.0,0.523,0.675,0.997,1.0,0.822,0.935,0.83,0.604,0.99,0.348
KNN,0.552,0.25,0.498,0.509,0.001,0.122,0.442,0.949,0.776,0.671,0.0,0.324
LOF,0.615,0.937,0.512,0.727,0.998,0.437,0.503,0.666,0.517,0.512,0.957,0.427
OCSVM,0.794,1.0,0.499,0.636,0.893,1.0,0.774,0.945,0.728,0.352,0.895,0.649
SUOD,0.847,0.999,0.523,0.669,0.989,1.0,0.838,0.941,0.838,0.65,0.949,0.276
xStream,0.845,1.0,0.524,0.672,0.994,1.0,0.832,0.938,0.817,0.602,0.985,0.388
